,A,B,C,class
2029,12.801516053171952,-52.756655821252714,3.6312506060978507,0.0
2030,3.405960677185732,-53.89446221462823,16.946851057557176,0.0
2031,7.715419171182766,-54.439801600562326,13.240120606194424,0.0
2032,12.024877665179801,-54.985140986496425,9.533390154831672,0.0
2033,16.334336159176836,-55.530480372430524,5.82665970346892,0.0
2034,20.64379465317387,-56.075819758364624,2.119929252106168,0.0
2035,11.24823927718765,-57.21362615174015,15.435529703565493,0.0
2036,15.557697771184685,-57.75896553767425,11.72879925220274,0.0
2037,19.86715626518172,-58.30430492360835,8.022068800839989,0.0
2038,24.176614759178754,-58.84964430954245,4.315338349477237,0.0
2039,28.48607325317579,-59.39498369547655,0.6086078981144851,0.0
2040,-40.08773336941136,-24.71776461346417,26.933215197363168,2.0
2041,-35.77827487541433,-25.26310399939827,23.226484746000416,0.0
2042,-31.468816381417298,-25.808443385332367,19.519754294637664,0.0
2043,-27.159357887420263,-26.353782771266467,15.813023843274912,0.0
2044,-22.84989939342323,-26.899122157200566,12.10629339191216,0.0
2045,-32.24545476940945,-28.036928550576086,25.42189384337148,2.0
2046,-27.935996275412414,-28.582267936510185,21.715163392008726,0.0
2047,-23.62653778141538,-29.127607322444284,18.008432940645974,0.0
2048,-19.317079287418345,-29.672946708378383,14.301702489283223,0.0
2049,-15.007620793421314,-30.218286094312482,10.59497203792047,0.0
2050,-24.40317616940753,-31.356092487687995,23.910572489379803,2.0
2051,-20.093717675410495,-31.901431873622094,20.20384203801705,2.0
2052,-15.784259181413464,-32.44677125955619,16.4971115866543,2.0
2053,-11.47480068741643,-32.99211064549029,12.790381135291547,0.0
2054,-7.165342193419399,-33.53745003142439,9.083650683928795,0.0
2055,-16.560897569405615,-34.675256424799905,22.39925113538812,2.0
2056,-12.25143907540858,-35.220595810734004,18.692520684025368,2.0
2057,-7.941980581411546,-35.7659351966681,14.985790232662616,2.0
2058,-3.6325220874145145,-36.3112745826022,11.279059781299864,0.0
2059,0.6769364065825201,-36.8566139685363,7.572329329937112,0.0
2060,-8.718618969403696,-37.99442036191182,20.887929781396444,2.0
2061,-4.409160475406665,-38.53975974784592,17.181199330033692,2.0
2062,-0.09970198140963049,-39.08509913378002,13.47446887867094,0.0
2063,4.209756512587404,-39.63043851971412,9.767738427308188,0.0
2064,8.519215006584439,-40.17577790564822,6.0610079759454365,0.0
2065,-0.8763403694017811,-41.31358429902373,19.37660842740476,2.0
2066,3.4331181245952536,-41.85892368495783,15.66987797604201,0.0
2067,7.742576618592288,-42.40426307089193,11.963147524679258,0.0
2068,12.052035112589316,-42.94960245682603,8.256417073316506,0.0
2069,16.36149360658635,-43.49494184276013,4.549686621953754,0.0
2070,6.9659382306001305,-44.63274823613565,17.86528707341308,0.0
2071,11.275396724597165,-45.17808762206975,14.158556622050327,0.0
2072,15.5848552185942,-45.723427008003846,10.451826170687575,0.0
2073,19.894313712591234,-46.268766393937945,6.745095719324823,0.0
2074,24.20377220658827,-46.814105779872044,3.038365267962071,0.0
2075,14.80821683060205,-47.95191217324756,16.353965719421396,0.0
2076,19.117675324599084,-48.497251559181656,12.647235268058644,0.0
2077,23.42713381859612,-49.042590945115755,8.940504816695892,0.0
2078,27.736592312593153,-49.587930331049854,5.23377436533314,0.0
2079,32.04605080659018,-50.13326971698395,1.5270439139703882,0.0
2080,-36.52775581599696,-15.456050634971588,27.85165121321907,2.0
2081,-32.21829732199993,-16.00139002090569,24.14492076185632,2.0
2082,-27.9088388280029,-16.546729406839788,20.438190310493567,2.0
2083,-23.599380334005865,-17.092068792773887,16.731459859130815,2.0
2084,-19.28992184000883,-17.637408178707986,13.024729407768064,0.0
2085,-28.68547721599505,-18.775214572083506,26.34032985922738,2.0
2086,-24.376018721998015,-19.320553958017605,22.63359940786463,2.0
2087,-20.06656022800098,-19.865893343951704,18.926868956501878,2.0
2088,-15.75710173400395,-20.411232729885803,15.220138505139126,2.0
2089,-11.447643240006915,-20.956572115819903,11.513408053776374,2.0
2090,-20.84319861599313,-22.094378509195415,24.829008505235706,2.0
2091,-16.5337401219961,-22.639717895129515,21.122278053872954,2.0
2092,-12.224281627999066,-23.185057281063614,17.415547602510202,2.0
2093,-7.914823134002031,-23.730396666997713,13.70881715114745,2.0
2094,-3.605364640005,-24.275736052931812,10.002086699784698,0.0
2095,-13.000920015991216,-25.413542446307325,23.317687151244023,2.0
2096,-8.691461521994185,-25.958881832241424,19.61095669988127,2.0
2097,-4.3820030279971505,-26.504221218175523,15.904226248518519,2.0
2098,-0.07254453400011585,-27.049560604109622,12.197495797155767,0.0
2099,4.236913959996919,-27.59489999004372,8.490765345793015,0.0
